Date,Facility,Total Transactions,Transponder Transactions,Percentage of Transponder Transactions,Comments,Location
10/30/2012 12:00:00 AM,BHT,"2,058,354","1,453,375",70.6%,,"1200 Frankfurst Avenue
Baltimore, MD 21226
(39.2400060564831, -76.58915553905152)"
07/31/2012 12:00:00 AM,FMT,"4,106,681","2,781,129",69.41%,,"900 Leland Avenue
Baltimore, MD 21224
(39.2661, -76.61575)"
07/31/2012 12:00:00 AM,FSK,"1,015,814","749,688",73.8%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
08/31/2012 12:00:00 AM,FSK,"1,104,125","832,071",75.36%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
08/31/2012 12:00:00 AM,HMB,"461,001","275,968",59.86%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
08/31/2012 12:00:00 AM,ICC,"1,423,802",,,"Transponder Data not yet available.  Previously reported transactions of 1,326,547 was updated in September to 1,423,802 ","16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
08/31/2012 12:00:00 AM,JFK,"1,446,594","905,288",62.58%,,"1 Turnpike Drive
Perryville, MD 21903
(39.589249, -76.072845)"
08/31/2012 12:00:00 AM,HWN,"326,955","155,387",47.53%,,"9665 Orland Park Road
Newburg, MD 20664
(38.364741, -76.9761)"
08/31/2012 12:00:00 AM,BHT,"1,849,657","1,218,709",65.89%,,"1200 Frankfurst Avenue
Baltimore, MD 21226
(39.240612, -76.587157)"
10/30/2012 12:00:00 AM,HMB,"413,718","372,965",90.15%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
10/30/2012 12:00:00 AM,JFK,"1,119,693","737,676",65.88%,,"1 Turnpike Drive
Perryville, MD 21903
(39.589249, -76.072845)"
10/30/2012 12:00:00 AM,ICC,"1,337,834",,,Transponder Data not yet available ,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
10/30/2012 12:00:00 AM,FMT,"3,590,369","2,574,313",71.7%,,"3990 Leland Avenue
Baltimore, MD 21224
(39.2661, -76.561575)"
08/31/2012 12:00:00 AM,FMT,"4,295,531","2,989,977",69.61%,,"3990 Leland Avenue
Baltimore, MD 21224
(39.2661, -76.561575)"
08/31/2012 12:00:00 AM,BAY,"1,329,172","797,017",59.96%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
07/31/2012 12:00:00 AM,BHT,"1,852,460","1,201,863",64.88%,,"1200 Frankfurst Avenue
Baltimore, MD 21226
(39.240612, -76.587157)"
07/31/2012 12:00:00 AM,HMB,"437,952","224,534",51.27%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
07/31/2012 12:00:00 AM,JFK,"1,428,001","866,641",60.69%,,"1 Turnpike Drive
Perryville, MD 21903
(39.589249, -76.072845)"
07/31/2012 12:00:00 AM,ICC,"1,379,962",,,Transponder Data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
07/31/2012 12:00:00 AM,BAY,"1,309,632","758,737",57.94%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
07/31/2012 12:00:00 AM,HWN,"312,519","142,914",45.73%,,"9665 Orland Park Road
Newberg, MD 20664
(38.364741, -76.9761)"
10/30/2012 12:00:00 AM,FSK,"904,081","694,016",76.76%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
10/30/2012 12:00:00 AM,BAY,"1,016,962","668,287",65.71%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
11/30/2012 12:00:00 AM,ICC,"1,298,832",,,Transponder Data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
11/30/2012 12:00:00 AM,HMB,"406,817","370,154",90.98%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
11/30/2012 12:00:00 AM,JFK,"1,215,121","793,259",65.28%,,"1 Turnpike Drive
Perryville, MD 21903
(39.567807, -76.073059)"
11/30/2012 12:00:00 AM,BAY,"1,015,569","666,982",65.67%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
11/30/2012 12:00:00 AM,FSK,"882,629","675,219",76.5%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
11/30/2012 12:00:00 AM,BHT,"2,082,690","1,453,366",69.78%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
11/30/2012 12:00:00 AM,HWN,"270,300","134,422",49.73%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
10/30/2012 12:00:00 AM,HWN,"261,408","134,616",51.5%,,"9665 Orland Park Road
Newburg, MD 20664
(38.364741, -76.9761)"
12/31/2012 12:00:00 AM,ICC,"1,248,111",,,Transponder Data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
11/30/2012 12:00:00 AM,FMT,"3,576,610","2,533,760",70.84%,,"3990 Leland Ave
Balitmore, MD 21224
(39.2661, -76.561575)"
12/31/2012 12:00:00 AM,JFK,"1,230,582","796,655",64.73%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
12/31/2012 12:00:00 AM,HMB,"397,121","362,619",91.31%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
12/31/2012 12:00:00 AM,BAY,"967,200","631,735",65.32%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
12/31/2012 12:00:00 AM,HWN,"262,146","129,965",49.57%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
12/31/2012 12:00:00 AM,FMT,"3,547,140","2,475,261",69.78%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
12/31/2012 12:00:00 AM,FSK,"830,769","627,105",75.48%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
12/31/2012 12:00:00 AM,BHT,"2,020,008","1,385,458",68.58%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
01/31/2013 12:00:00 AM,BHT,"1,970,446","1,419,393",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
01/31/2013 12:00:00 AM,FMT,"3,363,872","2,454,802",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
01/31/2013 12:00:00 AM,FSK,"834,818","655,391",79%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
01/31/2013 12:00:00 AM,JFK,"994,133","673,143",68%,,"1 Turnpike Drive
Perryville, MD 21903
(39.589249, -76.072845)"
01/31/2013 12:00:00 AM,HMB,"390,081","362,869",93%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
01/31/2013 12:00:00 AM,WPL,"879,032","606,699",69%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
01/31/2013 12:00:00 AM,HWN,"221,539","123,474",56%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
01/31/2013 12:00:00 AM,ICC,"1,285,160",,,Transponder Data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
02/28/2013 12:00:00 AM,FSK,"780,789","608,288",77.9%,,"303 Authority Drvie
Baltimore, MD 21222
(39.230495, -76.510661)"
02/28/2013 12:00:00 AM,ICC,"1,208,435",,,Transponder data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
02/28/2013 12:00:00 AM,BHT,"1,840,110","1,318,425",71.6%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
02/28/2013 12:00:00 AM,FMT,"3,121,285","2,272,586",72.8%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
02/28/2013 12:00:00 AM,JFK,"923,898","629,154",68%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
02/28/2013 12:00:00 AM,HMB,"365,577","340,141",93%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
02/28/2013 12:00:00 AM,WPL,"816,745","561,337",68.7%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
02/28/2013 12:00:00 AM,HWN,"210,094","116,955",55.7%,,"9665 Orland Park Road
Newburg, MD 20664
(38.364741, -76.9761)"
03/31/2013 12:00:00 AM,BHT,"1,840,110","1,318,425",71.65%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
03/31/2013 12:00:00 AM,FMT,"3,121,285","2,272,586",72.81%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
03/31/2013 12:00:00 AM,FSK,"780,789","608,288",77.91%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
03/31/2013 12:00:00 AM,JFK,"923,898","629,154",68.1%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
03/31/2013 12:00:00 AM,HMB,"365,577","340,141",93.04%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
03/31/2013 12:00:00 AM,WPL,"816,745","561,337",68.73%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
03/31/2013 12:00:00 AM,HWN,"210,094","116,955",55.67%,,"9665 Orland Park Road
Newburg, MD 20664
(38.364741, -76.9761)"
03/31/2013 12:00:00 AM,ICC,"1,208,435",,,Transponder data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -76.188097)"
04/30/2013 12:00:00 AM,BHT,"2,111,694","1,499,099",71%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
04/30/2013 12:00:00 AM,FMT,"3,771,919","2,695,996",71.5%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
04/30/2013 12:00:00 AM,FSK,"913,920","703,070",77%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
04/30/2013 12:00:00 AM,JFK,"1,245,475","830,351",66.7%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
04/30/2013 12:00:00 AM,HMB,"426,938","393,186",92%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
04/30/2013 12:00:00 AM,HWN,"266,771","140,753",52.8%,,"9665 Orland Park Rd
Newburg, MD 20644
(38.364741, -76.9761)"
04/30/2013 12:00:00 AM,ICC,"1,491,737",,,Transponder data not available,"16902 Crabbs Branch Rd
Rockville, MD 20855
(39.122199, -77.188097)"
04/30/2013 12:00:00 AM,WPL,"1,038,151","692,440",66.7%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
05/31/2013 12:00:00 AM,BHT,"2,180,949","1,518,406",69.62%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
05/31/2013 12:00:00 AM,FMT,"3,950,743","2,799,695",71.65%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
05/31/2013 12:00:00 AM,FSK,"997,638","762,524",76.43%,,"303 Authority Drive
Baltimore, MD 21224
(39.230495, -76.510661)"
05/31/2013 12:00:00 AM,JFK,"1,377,649","906,485",66.9%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
05/31/2013 12:00:00 AM,HMB,"448,366","409,813",91.4%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
05/31/2013 12:00:00 AM,WPL,"1,197,303","771,951",64.4%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
05/31/2013 12:00:00 AM,HWN,"304,779","154,015",50.5%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
06/30/2013 12:00:00 AM,FSK,"978,994","732,504",74.8%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
06/30/2013 12:00:00 AM,JFK,"1,345,929","853,403",63.4%,,"1 Turnpike Drive
Perryville, MD 21903
(39.589249, -76.072845)"
06/30/2013 12:00:00 AM,WPL,"1,249,922","760,970",60.8%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
06/30/2013 12:00:00 AM,HMB,"426,277","385,458",90.42%,,"6000 Pulaksi Highway
Perryville, MD 21903
(39.567807, -76.073059)"
06/30/2013 12:00:00 AM,HWN,"309,007","149,549",48.39%,,"9665 Orland Park Road
Newburg, MD 20664
(38.364741, -76.9761)"
06/30/2013 12:00:00 AM,ICC,"1,543,978",,,Transponder transaction data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
05/31/2013 12:00:00 AM,ICC,"1,584,430",,,Transponder data not yet available,"16902 Crabbs Branch Hwy
Rockville, MD 20855
(39.122199, -77.188097)"
06/30/2013 12:00:00 AM,FMT,"3,807,915","2,632,396",69.12%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
06/30/2013 12:00:00 AM,BHT,"2,069,450","1,409,392",68%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
07/31/2013 12:00:00 AM,BHT,"2,123,205","1,468,382",69%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
07/31/2013 12:00:00 AM,FMT,"3,862,163","269,074",69.8%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
07/31/2013 12:00:00 AM,FSK,"936,974","713,061",76%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
07/31/2013 12:00:00 AM,HMB,"433,063","395,320",91%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
07/31/2013 12:00:00 AM,ICC,"1,542,795",,,Transponder data not available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
07/31/2013 12:00:00 AM,WPL,"1,308,652","795,346",60.7%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
07/31/2013 12:00:00 AM,HWN,"323,430","158,572",49%,,"965 Orland Park Road
Newburg, MD 20664
(38.364741, 76.9761)"
07/31/2013 12:00:00 AM,JFK,"1,419,630","892,288",62.85%,,"1Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
08/31/2013 12:00:00 AM,FMT,"4,011,477","2,818,171",70%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
08/31/2013 12:00:00 AM,FSK,"946,354","721,840",76.3%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
08/31/2013 12:00:00 AM,JFK,"1,481,470","951,480",64.2%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
08/31/2013 12:00:00 AM,HMB,"456,006","415,335",91%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
08/31/2013 12:00:00 AM,BHT,"2,265,092","1,578,083",69.7%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
08/31/2013 12:00:00 AM,WPL,"1,344,727","830,895",62%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
08/31/2013 12:00:00 AM,HWN,"336,417","168,029",50%,,"9665 Orland Park Road
Newburg, MD 20664
(38.364741, -76.9761)"
08/31/2013 12:00:00 AM,ICC,"1,625,313",,,Transponder data not available,"16902 Crabbs Branch Hwy
Rockville, MD 20855
(39.122199, -77.188097)"
09/30/2013 12:00:00 AM,FSK,"884,262","683,412",77%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
09/30/2013 12:00:00 AM,HWN,"262,464","139,837",53%,,"9665 Orland Park Road
Newburg, MD 20664
(38.364741, -76.9761)"
09/30/2013 12:00:00 AM,WPL,"1,103,080","711,331",64%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
09/30/2013 12:00:00 AM,ICC,"1,600,861",,,Transponder data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
09/30/2013 12:00:00 AM,BHT,"2,063,706","1,463,155",71%,,"1200 Frankfurst Ave
Balitmore, MD 21226
(39.240612, -76.587157)"
09/30/2013 12:00:00 AM,FMT,"3,499,359","2,524,281",72%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
09/30/2013 12:00:00 AM,HMB,"416,254","385,743",93%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
09/30/2013 12:00:00 AM,JFK,"1,155,470","770,133",67%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
01/31/2014 12:00:00 AM,JFK,"935,463","643,998",69%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
10/31/2013 12:00:00 AM,BHT,"2,149,206","1,558,373",73%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
10/31/2013 12:00:00 AM,FMT,"3,602,509","2,655,266",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
10/31/2013 12:00:00 AM,FSK,"982,940","732,918",75%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
10/31/2013 12:00:00 AM,JFK,"1,152,885","785,005",68%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
10/31/2013 12:00:00 AM,HMB,"432,017","404,119",94%,,"6000 Pulaksi Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
10/31/2013 12:00:00 AM,WPL,"1,048,584","717,609",68%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
10/31/2013 12:00:00 AM,HWN,"270,730","150,416",56%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
11/30/2013 12:00:00 AM,FMT,"3,446,191","2,500,673",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
11/30/2013 12:00:00 AM,HWN,"262,452","138,580",53%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
11/30/2013 12:00:00 AM,ICC,"1,588,801",,,Transponder data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
11/30/2013 12:00:00 AM,BHT,"204,918","1,463,432",71%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
11/30/2013 12:00:00 AM,JFK,"1,189,902","805,298",68%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
11/30/2013 12:00:00 AM,WPL,"985,537","672,363",68%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
12/31/2013 12:00:00 AM,BHT,"2,027,666","1,434,204",71%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
11/30/2013 12:00:00 AM,FSK,"834,798","651,103",78%,,"303 Authority Drive
Baltimore, MD 21222
(39.230945, -76.570661)"
10/31/2013 12:00:00 AM,ICC,"1,699,377",,,Transponder data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
11/30/2013 12:00:00 AM,HMB,"405,195","377,256",93%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
12/31/2013 12:00:00 AM,FMT,"3,423,746","2,462,822",72%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
12/31/2013 12:00:00 AM,FSK,"809,093","625,789",77%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.570661)"
12/31/2013 12:00:00 AM,JFK,"1,207,564","801,400",66%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
12/31/2013 12:00:00 AM,HMB,"393,270","366,091",93%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, 76.073059)"
12/31/2013 12:00:00 AM,WPL,"940,674","641,403",68%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
12/31/2013 12:00:00 AM,ICC,"1,565,207",,,Transponder data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
12/31/2013 12:00:00 AM,HWN,"261,825","138,613",53%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
01/31/2014 12:00:00 AM,BHT,"1,867,508","1,369,574",73%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
01/31/2014 12:00:00 AM,FMT,"3,114,756","2,324,741",75%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
01/31/2014 12:00:00 AM,FSK,"781,165","623,406",80%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
01/31/2014 12:00:00 AM,HMB,"370,558","349,666",94%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
01/31/2014 12:00:00 AM,WPL,"815,383","583,616",72%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
01/31/2014 12:00:00 AM,HWN,"208,796","123,078",59%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
01/31/2014 12:00:00 AM,ICC,"1,549,102",,,Transponder data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
02/28/2014 12:00:00 AM,BHT,"1,724,887","1,255,216",73%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
02/28/2014 12:00:00 AM,FMT,"2,844,410","2,111,397",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
02/28/2014 12:00:00 AM,FSK,"729,334","576,164",79%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
02/28/2014 12:00:00 AM,JFK,"847,693","588,457",69%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
02/28/2014 12:00:00 AM,HMB,"344,516","324,513",94%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
02/28/2014 12:00:00 AM,WPL,"757,631","540,651",71%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
02/28/2014 12:00:00 AM,HWN,"193,711","114,401",59%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
02/28/2014 12:00:00 AM,ICC,"1,372,222",,,Transponder Data not yet available,"16902 Crabbs Branch Road
Rockville, MD 20855
(39.122199, -77.188097)"
03/31/2014 12:00:00 AM,FSK,"836,589","652,564",78%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
03/31/2014 12:00:00 AM,JFK,"1,121,358","759,582",68%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
03/31/2014 12:00:00 AM,BHT,"2,041,071","1,452,359",71%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
03/31/2014 12:00:00 AM,HMB,"404,297","378,540",94%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
03/31/2014 12:00:00 AM,WPL,"901,584","626,969",70%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
03/31/2014 12:00:00 AM,HWN,"234,653","132,086",56%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.96761)"
03/31/2014 12:00:00 AM,FMT,"3,399,365","2,476,349",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
03/31/2014 12:00:00 AM,ICC,"1,515,353",,,Transponder data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
04/30/2014 12:00:00 AM,BHT,"2,201,587","1,574,649",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
04/30/2014 12:00:00 AM,FMT,"3,672,972","2,670,221",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
