Date,Facility,Total Transactions,Transponder Transactions,Percentage of Transponder Transactions,Comments,Location
01/31/2016 12:00:00 AM,FMT,"3,655,452","2,247,437",61%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
01/31/2016 12:00:00 AM,JFK,"1,283,987","696,059",54%,,"1 Turnpike
Perryville, MD 21903
(39.5892349, -76.072845)"
01/31/2016 12:00:00 AM,HMB,"422,636","344,743",82%,,"6000 Pulaksi Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
01/31/2016 12:00:00 AM,WPL,"1,020,372","589,551",58%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
01/31/2016 12:00:00 AM,HWN,"282,219","125,563",45%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
01/31/2016 12:00:00 AM,BHT,"2,357,497","1,477,830",63%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
01/31/2016 12:00:00 AM,ICC,"2,377,865",,,Data not yet avialable,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
02/29/2016 12:00:00 AM,FMT,"3,219,963","2,375,753",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
02/29/2016 12:00:00 AM,HMB,"386,082","362,781",94%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
02/29/2016 12:00:00 AM,WPL,"852,210","616,150",72%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
02/29/2016 12:00:00 AM,HWN,"216,380","132,207",61%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
03/31/2016 12:00:00 AM,FSK,"981,051","769,391",78%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
04/30/2016 12:00:00 AM,BHT,"2,359,664","1,706,649",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
02/29/2016 12:00:00 AM,BHT,"2,150,069","1,585,011",74%,,"1200 Frankfurst Ave
Baltimore, MD 21224
(39.240612, -76.587157)"
02/29/2016 12:00:00 AM,FSK,"844,543","667,791",79%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
02/29/2016 12:00:00 AM,JFK,"996,820","711,816",71%,,"1 Turnpike Dr
Perryville, MD 21903
(39.589249, -76.072845)"
02/29/2016 12:00:00 AM,ICC,"2,166,141",,,Data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
03/31/2016 12:00:00 AM,BHT,"2,468,766","1,803,267",73%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
03/31/2016 12:00:00 AM,FMT,"3,776,529","2,769,020",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
03/31/2016 12:00:00 AM,JFK,"1,283,146","905,108",70%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
03/31/2016 12:00:00 AM,HMB,"445,205","414,849",93%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
03/31/2016 12:00:00 AM,HWN,"275,973","163,370",59%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
03/31/2016 12:00:00 AM,ICC,"2,406,785",,,Data not available ,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
03/31/2016 12:00:00 AM,WPL,"1,040,913","739,359",71%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
04/30/2016 12:00:00 AM,FMT,"3,739,531","2,762,539",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
04/30/2016 12:00:00 AM,FSK,"986,067","754,773",77%,,"303 Authority Dr
Baltimore, MD 21222
(39.230495, -76.510661)"
04/30/2016 12:00:00 AM,JFK,"1,316,485","930,121",71%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
04/30/2016 12:00:00 AM,WPL,"1,062,803","746,914",70%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
04/30/2016 12:00:00 AM,HMB,"428,375","399,423",93%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
04/30/2016 12:00:00 AM,HWN,"272,205","158,076",58%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
04/30/2016 12:00:00 AM,ICC,"2,497,769",,,Data not available,"16902 Crabbs Branch Rd
Rockville, MD 20855
(39.122199, -77.188097)"
05/31/2016 12:00:00 AM,WPL,"1,186,211","803,992",68%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.9761)"
05/31/2016 12:00:00 AM,BHT,"2,500,007","1,787,628",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
05/31/2016 12:00:00 AM,FMT,"3,870,778","2,826,412",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
05/31/2016 12:00:00 AM,FSK,"975,410","751,042",77%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
05/31/2016 12:00:00 AM,HWN,"297,908","166,625",56%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
06/30/2016 12:00:00 AM,BHT,"2,480,042","1,761,648",71%,,"1200 Frankfurt Ave
Baltimore, Md 21226
(39.240912, -76.587157)"
06/30/2016 12:00:00 AM,FMT,"3,897,489","2,816,302",72%,,"3990 Leland Ave
Baltimore, MD 21224
(39.8661, -76.561575)"
06/30/2016 12:00:00 AM,FSK,"1,023,732","790,382",77%,,"303 Authority Drive
Baltimore MD, 2122
(39.230495, -76.510661)"
06/30/2016 12:00:00 AM,JFK,"1,401,668","946,072",67%,,"1Turnpike
Perrville, MD 21903
(39.589249, -76.072845)"
06/30/2016 12:00:00 AM,HMB,"451,832","415,726",92%,,"6000 Pulaski Hwy
Perrville, MD 21903
(30.567807, -76.406716)"
06/30/2016 12:00:00 AM,WPL,"1,309,979","865,143",66%,,"850 Revell Hwy
Annapolis, Md 21409
(39.01338, -76.406716)"
06/30/2016 12:00:00 AM,HWN,"316,346","174,463",55%,,"9665 Orland Park Rd
Newburg, MD, 20644
(38.364741, -76.9761)"
06/30/2016 12:00:00 AM,ICC,"2,641,555",,,Data not available ,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
05/31/2016 12:00:00 AM,ICC,"6,849,859","2,447,386",,,"16902 Crabbs Branch Rd
Rockville, MD 20855
(39.122199, -77.188097)"
09/30/2016 12:00:00 AM,FMT,"3,410,636","2,469,509",72%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
09/30/2016 12:00:00 AM,HMB,"427,739","396,609",93%,,"6000 Pulaski HWY
Perryville, MD 21903
(39.567807, -76.073059)"
09/30/2016 12:00:00 AM,WPL,"1,158,095","72,036",67%,,"850 Revell Hwy
Annapolis, Md 21409
(39.01338, -76.406715)"
05/31/2016 12:00:00 AM,HWN,"316,141","803,992",39%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
07/31/2016 12:00:00 AM,FMT,"3,977,178","2,812,482",71%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
07/31/2016 12:00:00 AM,FSK,"970,690","731,834",75%,,"303 Authority Drive
Baltimore, Md 21222
(39.230495, -76.510661)"
07/31/2016 12:00:00 AM,HMB,"457,786","413,890",90%,,"6000 Pulaski Hwy
Perryville, Md 21903
(39.5677807, -76.9761)"
07/31/2016 12:00:00 AM,ICC,"2,636,247",,,data not available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
08/31/2016 12:00:00 AM,ICC,"2,744,391",,,data not available,"16902 Crabbs Branch Way
Rockville, MD 20664
(39.122199, -77.188097)"
09/30/2012 12:00:00 AM,HWN,"11,176,107","795,630",68%,,"9665 Orland Park Road
Newburg, MD 20664
(38.364741, -76.9761)"
09/30/2012 12:00:00 AM,BHT,"2,275,398","1,624,505",71%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.581757)"
09/30/2012 12:00:00 AM,FMT,"3,800,085","2,798,452",74%,,"3990 Leland Avenue
Baltimore, MD 21224
(39.2661, -76.561575)"
09/30/2012 12:00:00 AM,FSK,"986,925","765,810",78%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
09/30/2012 12:00:00 AM,JFK,"1,262,219","965,297",69%,,"1 Turnpike Drive
Perryville, MD 21903
(39.589249, -76.072845)"
09/30/2012 12:00:00 AM,HMB,"427,714","397,369",93%,,"6000 Pulaski Highway
Perryville, MD 21903
(39.567807, -76.073059)"
09/30/2012 12:00:00 AM,WPL,"282,586","163,545",58%,,"850 Revell Highway
Annapolis, MD 21409
(39.01338, -76.406716)"
09/30/2012 12:00:00 AM,ICC,"2,744,391",,,Transponder Data not yet available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
10/31/2016 12:00:00 AM,BHT,"2,378,647","1,703,899",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
10/31/2016 12:00:00 AM,FMT,"3,892,374","2,889,400",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
10/31/2016 12:00:00 AM,FSK,"985,145","765,945",78%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, 76.510661)"
10/31/2016 12:00:00 AM,JFK,"1,283,700","899,092",70%,,"1 Turnpike
Perryville, Md 21903
(39.589249, -76.072845)"
10/31/2016 12:00:00 AM,HMB,"438,328","407,045",93%,,"6000 Pulasi Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
10/31/2016 12:00:00 AM,ICC,"2,832,837",,,data not available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
07/31/2016 12:00:00 AM,WPL,"1,393,668","877,105",63%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.4046716)"
07/31/2016 12:00:00 AM,BHT,"2,513,089","1,727,029",69%,,"1200 Frankfurst
Baltimore, MD 21226
(39.240612, -76.587157)"
07/31/2016 12:00:00 AM,JFK,"1,540,685","1,006,075",65%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
07/31/2016 12:00:00 AM,HWN,"347,511","182,311",63%,,"9665 Orland Park Rd
Newburg, MD 20664
(39.122199, -77.188097)"
08/31/2016 12:00:00 AM,BHT,"2,459,603","1,725,131",70%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
08/31/2016 12:00:00 AM,FMT,"4,205,527","3,057,291",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
08/31/2016 12:00:00 AM,HWN,"332,002","184,611",56%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
08/31/2016 12:00:00 AM,HMB,"476,342","435,130",91%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
08/31/2016 12:00:00 AM,WPL,"282,586","163,545",65%,,"850 Revell Hwy
Annapolis, MD 21409
(39.567807, -76.073059)"
08/31/2016 12:00:00 AM,FSK,"1,055,535","816,615",77%,,"303 Authority Drive
Baltimore, Md 21222
(39.230495, -76.510661)"
09/30/2016 12:00:00 AM,FSK,"986,925","765,810",78%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
08/31/2016 12:00:00 AM,JFK,"1,262,219","865,297",67%,,"1 Turnpike
Perrville, Md 21903
(39.589249, -76.072845)"
09/30/2016 12:00:00 AM,BHT,"2,275,398","1,624,505",71%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
09/30/2016 12:00:00 AM,JFK,"1,262,219","865,297",69%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
09/30/2016 12:00:00 AM,HWN,"282,586","163,545",56%,,"9665 Orland Park Rd
Newburg, Md 20664
(38.364741, -76.9761)"
09/30/2016 12:00:00 AM,ICC,"2,744,391",,,,"16902 Crabbs Branch Way
Rockville, Md 20855
(38.364741, -76.9761)"
10/31/2016 12:00:00 AM,HWN,"283,204","163,910",58%,,"9665 Orland Park Rd
Newburg, MD 20644
(38.122199, -77.188097)"
10/31/2016 12:00:00 AM,WPL,"1,117,573","778,649",70%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
11/30/2016 12:00:00 AM,WPL,"1,046,604","736,483",70%,,"850 Revell Hwt
Annapolis, MD 21409
(39.01338, -76.406716)"
11/30/2016 12:00:00 AM,BHT,"2,321,617","1,681,752",72%,,"200 Frankfurst Ave
Baltimore, Ms 21226
(39.240612, -76.587157)"
11/30/2016 12:00:00 AM,FMT,"3,783,175","2,823,028",75%,,"3990 Leland Ave
Baltimore, Md 21224
(39.2661, -76.561575)"
11/30/2016 12:00:00 AM,FSK,"931,147","728,346",78%,,
11/30/2016 12:00:00 AM,JFK,"1,304,290","923,787",71%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
11/30/2016 12:00:00 AM,HMB,"419,157","390,411",93%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
11/30/2016 12:00:00 AM,HWN,"286,742","163,388",57%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -77.188097)"
11/30/2016 12:00:00 AM,ICC,"2,717,232",,,data not available,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.788097)"
12/31/2016 12:00:00 AM,HMB,"414,785","387,475",93%,,"6000 Pulaski Hwy
Perryville, MD 21905
(39.567807, -76.073059)"
12/31/2016 12:00:00 AM,BHT,"2,327,689","1,678,418",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.24012, -76.578157)"
12/31/2016 12:00:00 AM,FSK,"936,698","726,987",78%,,"303 Authority Drve
Baltimore, MD 21226
(39.230495, -76.0)"
12/31/2016 12:00:00 AM,FMT,"3,727,549","2,764,053",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.240612, -76.587157)"
12/31/2016 12:00:00 AM,WPL,"1,024,278","722,368",71%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.9761)"
12/31/2016 12:00:00 AM,HWN,"280,406","161,251",58%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
12/31/2016 12:00:00 AM,ICC,"2,679,386",,,,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
01/31/2017 12:00:00 AM,HWN,"226,621","139,613",62%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
01/31/2017 12:00:00 AM,WPL,"885,649","645,896",94%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.9761)"
01/31/2017 12:00:00 AM,FSK,"868,134","691,080",80%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
01/31/2017 12:00:00 AM,ICC,"2,501,607",,,,"19602 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
01/31/2017 12:00:00 AM,FMT,"3,464,176","2,634,701",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
01/31/2017 12:00:00 AM,JFK,"1,074,197","786,526",73%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
01/31/2017 12:00:00 AM,HMB,"399,900","375,367",94%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
01/31/2017 12:00:00 AM,BHT,"2,183,145","161,742",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
02/28/2017 12:00:00 AM,BAY,"875,017","633,654",72%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
02/28/2017 12:00:00 AM,BHT,"2,069,256","1,518,024",73%,,"1200 Frankfurst
Baltimore, MD 21226
(39.240612, -76.587157)"
02/28/2017 12:00:00 AM,FMT,"3,278,046","2,489,921",76%,,"3990 Leland Ave
Baltimore, MD 21226
(39.2661, -76.561575)"
02/28/2017 12:00:00 AM,FSK,"842,213","665,192",79%,,"303 Authority Drive
Baltimore, MD 21224
(39.230495, -76.510661)"
02/28/2017 12:00:00 AM,JFK,"1,005,860","739,407",74%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
02/28/2017 12:00:00 AM,HMB,"378,667","355,567",94%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
02/28/2017 12:00:00 AM,HWN,"221,568","135,965",61%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9461)"
03/31/2017 12:00:00 AM,ICC,"2,593,573",,,,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
03/31/2017 12:00:00 AM,HWN,"262,856","159,646",61%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
02/28/2017 12:00:00 AM,ICC,"2,297,823",,,,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
03/31/2017 12:00:00 AM,WPL,"1,000,794","772,102",72%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
03/31/2017 12:00:00 AM,BHT,"2,346,841","1,706,933",73%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
03/31/2017 12:00:00 AM,FMT,"3,720,317","2,806,092",75%,,
03/31/2017 12:00:00 AM,FSK,"957,732","751,907",79%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
03/31/2017 12:00:00 AM,JFK,"1,193,740","867,171",73%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
03/31/2017 12:00:00 AM,HMB,"423,952","396,767",94%,,"6000 Pulaski Hwy
Perryville, Md 21903
(39.589146, -76.073059)"
07/31/2017 12:00:00 AM,BHT,"2,470,528","1,727,172",70%,,"1200 Frankfrust Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
07/31/2017 12:00:00 AM,HMB,"437,676","399,769",91%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
07/31/2017 12:00:00 AM,FMT,"3,981,868","2,868,490",72%,,"3990 Leland Ave
Baltimore, MD 21224
(39.261, -76.561575)"
07/31/2017 12:00:00 AM,FSK,"997,732","757,211",76%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
07/31/2017 12:00:00 AM,JFK,"1,525,580","1,047,996",69%,,"1 Turnpike Hwy
Perville, MD 21903
(29.589249, -0.76)"
07/31/2017 12:00:00 AM,WPL,"1,360,743","869,619",64%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
07/31/2017 12:00:00 AM,HWN,"333,723","180,786",54%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
08/31/2017 12:00:00 AM,ICC,"2,940,376",,,,
07/31/2017 12:00:00 AM,ICC,"2,798,223",,,,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
08/31/2017 12:00:00 AM,JFK,"1,515,695","1,066,929",71%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
08/31/2017 12:00:00 AM,HMB,"462,887","427,439",92%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
08/31/2017 12:00:00 AM,WPL,"1,360,743","9,728",67%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
08/31/2017 12:00:00 AM,HWN,"335,514","192,449",57%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
09/30/2017 12:00:00 AM,HWN,"1,181,241","803,148",57%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
09/30/2017 12:00:00 AM,ICC,"2,662,913",,,,"19602 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
08/31/2017 12:00:00 AM,BHT,"2,570,155","1,853,672",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
08/31/2017 12:00:00 AM,FMT,"4,107,152","3,050,945",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
08/31/2017 12:00:00 AM,FSK,"1,073,934","831,244",77%,,"303 Authority Ave
Baltimore, MD 21222
(39.230495, -76.510661)"
09/30/2017 12:00:00 AM,FMT,"3,713,619","2,768,179",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
09/30/2017 12:00:00 AM,FSK,"993,348","768,651",77%,,"303 Authority Drive
Baltimore MD, 2122
(39.230495, -76.510661)"
09/30/2017 12:00:00 AM,JFK,"1,287,960","908,916",71%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
09/30/2017 12:00:00 AM,HMB,"426,736","397,984",92%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
09/30/2017 12:00:00 AM,WPL,"282,279","164,723",67%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
09/30/2017 12:00:00 AM,BHT,"2,345,017","1,686,336",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
04/30/2017 12:00:00 AM,BHT,"2,404,031","1,720,915",72%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
04/30/2017 12:00:00 AM,WPL,"1,114,501","774,404",69%,,"850 Revell Hwy
Annapolis, Md 21409
(39.01338, -76.406716)"
04/30/2017 12:00:00 AM,FMT,"3,906,272","2,906,706",74%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
04/30/2017 12:00:00 AM,FSK,"974,262","750,242",77%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
04/30/2017 12:00:00 AM,JFK,"1,427,848","1,029,911",72%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
04/30/2017 12:00:00 AM,HMB,"432,023","399,796",93%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
04/30/2017 12:00:00 AM,HWN,"292,438","168,314",58%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
04/30/2017 12:00:00 AM,ICC,"2,775,969",,,,"16902 Crabbs Branch Way
Rockville, Md 20855
(39.122199, -77.188097)"
05/31/2017 12:00:00 AM,JFK,"1,405,487","1,008,356",72%,,"1 Turnpike
Perryville, MD 21903
(39.589249, -76.072845)"
05/31/2017 12:00:00 AM,HMB,"452,747","420,428",93%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
05/31/2017 12:00:00 AM,WPL,"1,211,567","834,441",69%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
05/31/2017 12:00:00 AM,HWN,"303,067","176,073",58%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
05/31/2017 12:00:00 AM,BHT,"2,443,303","1,763,329",50%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
05/31/2017 12:00:00 AM,FMT,"4,012,555","2,998,278",75%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
05/31/2017 12:00:00 AM,FSK,"1,050,514","814,474",78%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
05/31/2017 12:00:00 AM,ICC,"3,082,485",,,,"16902 Crabbs Branch Way
Rockville, MD 20855
(39.122199, -77.188097)"
06/30/2017 12:00:00 AM,BHT,"2,458,302","1,755,345",71%,,"1200 Frankfurst Ave
Baltimore, MD 21226
(39.240612, -76.587157)"
06/30/2017 12:00:00 AM,FMT,"3,961,124","2,910,837",73%,,"3990 Leland Ave
Baltimore, MD 21224
(39.2661, -76.561575)"
06/30/2017 12:00:00 AM,FSK,"1,069,266","819,837",77%,,"303 Authority Drive
Baltimore, MD 21222
(39.230495, -76.510661)"
06/30/2017 12:00:00 AM,JFK,"1,427,124","819,177",70%,,"1 Turnpike
Perrville, MD 21903
(39.589249, -76.072845)"
06/30/2017 12:00:00 AM,HMB,"445,759","997,410",92%,,"6000 Pulaski Hwy
Perryville, MD 21903
(39.567807, -76.073059)"
06/30/2017 12:00:00 AM,WPL,"1,349,229","411,616",66%,,"850 Revell Hwy
Annapolis, MD 21409
(39.01338, -76.406716)"
06/30/2017 12:00:00 AM,HWN,"328,145","897,027",56%,,"9665 Orland Park Rd
Newburg, MD 20664
(38.364741, -76.9761)"
06/30/2017 12:00:00 AM,ICC,"2,818,406","1,985,197",,,"16902 Crabbs Branch Way
Newburg, MD 20664
(38.364741, -77.188097)"
